,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
0,"Fortune 500 Thrives, But Small Businesses Not So Optimistic",What Are Sunk Costs? (1.01),The Secret to Achieving Resolutions:  Setting Small Goals (1.00),Is It Time to Change Your Business Structure? (1.00),How Much Will the Sequester Cost Small Business Contractors? (1.00),Satanic Latte Art? How Should a Business Respond? (1.00),Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program (1.00),Getting Your Business Energy Efficient Before the Holidays (1.00),Reward your Small Business with the Capital One Spark (1.00),Remote Work No Longer a Perk But a Business Imperative (1.00),Study Finds Small Business Loans Key to Startup Success (1.00)
1,"Bright Light Helps Market Products, But Makes Decisions More Emotional",How to Handle a Public Relations Crisis (1.01),Time is Money: Are You and Your Employees Effectively Managing It? (1.01),How to Get Your Products Discovered with Videos (1.00),Ten Approaches That May Shape the Future of eCommerce (1.00),Twitter Officially Launches Mobile Ads Manager (1.00),5 lessons from the Bhagvad Gita for every entrepreneur (1.00),How To Integrate Your Remote Office Effectively (1.00),"Google Announces Web Designer, Enhancements to DoubleClick (1.00)",Why We Are Afraid to Talk Pricing (1.00),Famous Bloggers Founder Loses Domain Names (1.00)
2,Successful S-Corp Owners: Watch Out For A Tax Increase,10 Things You Need To Do After Forming An LLC (1.00),How to Get Your Company Back in Good Standing This Summer (1.00),"Give Quantitative, Monetary Values to Employee Benefits or Risk Attrition (1.00)","South Dakota, Texas Top List of Best State Tax Systems (0.99)",HP Announces 8 New Business Tablets (0.99),Internet Sales Tax Bill May Stall in House of Representatives (0.99),A dummy's guide to GST (0.99),New Tax Penalty Targets Health Reimbursement Accounts (0.99),Communicating to Employees About Health Insurance Open Enrollment (0.99),How Do Your Employee Benefits Stack Up? (0.99)
3,Mid-Year Business Review: Risk Management Edition,Best Small Business Books (1.00),Small Business News: Small Biz Startup Tips (1.00),10 Tips For Organizing Your Small Business This Year (1.00),25 Top YouTube Channels for Small Business Owners and Entrepreneurs (1.00),Getting Your Small Business Started On Yelp (1.00),"Yelp Will Allow Businesses to Sell Food, Other Services (1.00)",Insights From Google About How Small Businesses Can Improve Sales (1.00),Small Business Guide to Cloud Computing (1.00),28 Webinar Services for Small Business Owners (1.00),Upstarts: How GenY Entrepreneurs are Rocking the World of Business (1.00)
4,European shares lifted by solid earnings but RBS slumps,STOCKS RALLY: Here's what you need to know (1.00),How millions from the Bangladesh Bank heist disappeared (1.00),The 10 most important things in the world right now (1.00),Here comes the Baker Hughes rig count ... (1.00),Daily Sprout (1.00),Putin and Erdogan move towards repairing Russia-Turkey ties (1.00),"What to buy, sell and hold (1.00)",10 things you need to know before the opening bell (1.00),Franchising In The Downturn And Recovery (1.00),Banks and tech firms apply blockchain to trade finance (1.00)
5,How to Get Your Products Discovered with Videos,Time is Money: Are You and Your Employees Effectively Managing It? (1.02),Ten Approaches That May Shape the Future of eCommerce (1.01),The New Picture HTML Code Could Make Your Website Load Faster (1.01),How to Handle a Public Relations Crisis (1.01),Headlining the News This Week: Wix Acquires OpenRest (1.01),Tweeter in Chief: Obama Twitter Account Gets Heavy Engagement (1.01),WhatsApp Messaging Service Reaches 400 Million Active Users (1.01),"Bright Light Helps Market Products, But Makes Decisions More Emotional (1.00)",Twitter Officially Launches Mobile Ads Manager (1.00),5 lessons from the Bhagvad Gita for every entrepreneur (1.00)
6,"Court Reverses $338,000 Award for User Generated Content",Headlining the News This Week: Wix Acquires OpenRest (1.02),Google Improves AdWords Express Program (1.01),Vine: Now You Can Send Video Messages Directly to Friends and Colleagues (1.00),"Google Announces Web Designer, Enhancements to DoubleClick (1.00)",Pinterest Contemplates Sponsored Pins (1.00),Nimble CRM Says LinkedIn Lock Out is a Minor Stumbling Block (1.00),Awaken Your Productivity With Fearless At Work (1.00),9 Holiday Marketing Tips to Make Your Retail Store Stand Out (1.00),Why You Need Honest Feedback and 3 Ways to Get It (1.00),Save the Date for a Twitter Chat: Demystifying Data Backup (1.00)
7,25 Free WordPress Plugins for Integrating Google Features,Looking for Blog Topics? @TheSalesLion Has a Few [BlogWorld Coverage] (1.00),Monster Loyalty: Savvy Engagement Tips From Lady Gaga (1.00),4 Ways to Market Your SMB With Flickr (1.00),4 Ways to Make or Save Money with a Smartphone (1.00),The Evolution of Affiliate Marketing (1.00),The 5 Types of Influencers On The Web (1.00),5 Reasons SMBs Need Content Marketing (1.00),How To Keep Customers Loyal With Coupons (1.00),How to Use The Linkedin Mentions Feature to Engage and Connect (1.00),Design Advice From Visual Marketing Book (1.00)
8,Small Business Product Launches and Shut Downs,Improving Your Community Can Improve Your Business (1.00),How the Cloud is Reshaping Small Business Productivity (1.00),Email Erases 9 to 5 at Many Small to Mid-Sized Businesses (1.00),Catch Up With Our Latest Small Business News Recap (1.00),Small Business Disaster Survival Guide: Get Your Insurance Claims Covered (1.00),Small Business News: Week in Review for July 7 (1.00),Small Business Leads To Better Economy (1.00),Oakland Program Helps Underprivileged Youth Start Businesses (1.00),How to Turn Your Hobby Into a Business (1.00),Join The Crowdfunding Revolution to Start Your Business (1.00)
9,Build your Business Through The Economics of Integrity,Get It Together! Consolidate Your Business Systems (1.00),Insights From Google About How Small Businesses Can Improve Sales (1.00),Strategic Speed Shows How to Execute Business Strategy Fast and Well (1.00),Sell Local Think Global is Loaded With Creative Marketing Ideas for Small Business (1.00),The Best Business Dashboard Apps For Small Businesses (1.00),The Blink Factor: Time Management Can Build or Break Your Business (1.00),10 Online Dangers Your Business Faces (1.00),10 Ways to Save Money for Your Business (1.00),Mid-Year Business Review: Risk Management Edition (0.99),5 Benefits of Having a Website for Your Small Business (0.99)
10,STOCKS RALLY: Here's what you need to know,European shares lifted by solid earnings but RBS slumps (1.00),How millions from the Bangladesh Bank heist disappeared (1.00),Here come retail sales ... (1.00),The 10 most important things in the world right now (1.00),Here come personal income and spending ... (1.00),Here comes the Baker Hughes rig count ... (1.00),Daily Sprout (1.00),Putin and Erdogan move towards repairing Russia-Turkey ties (1.00),"What to buy, sell and hold (1.00)",Rupee down against dollar (1.00)
11,Best Small Business Books,Mid-Year Business Review: Risk Management Edition (1.00),The Small Business Guide to Getting Ready for Vacation (1.00),The Commitment Engine Inspires Small Business Growth (1.00),Small Business News: Small Biz Startup Tips (1.00),10 Tips For Organizing Your Small Business This Year (1.00),25 Top YouTube Channels for Small Business Owners and Entrepreneurs (1.00),WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers (1.00),Getting Your Small Business Started On Yelp (1.00),"Yelp Will Allow Businesses to Sell Food, Other Services (1.00)",Small Business Guide to Cloud Computing (1.00)
12,What Is HTML5? Do I Need It For My Business Website?,Facebook Wants Your Businesses On Messenger (1.00),5 Benefits of Having a Website for Your Small Business (1.00),Receive Custom Social Content for Your Small Business With Emphatic (1.00),Outsell Yourself: Go From Hello to Sold With Ethical Business and Sales Techniques (1.00),How a Small Business Can Use Big Data (1.00),5 Small Business Social Media Mistakes (1.00),How Are Business Books Like Restaurants? (1.00),12 Blogs Every Small Business Should Be Reading (1.00),A 30 Point Checklist for Your Startup (1.00),LinkedIn Introduces Showcase Pages for Business (1.00)
13,10 Apps to Assist with Your Small Business Taxes,How the Cloud is Reshaping Small Business Productivity (1.00),Email Erases 9 to 5 at Many Small to Mid-Sized Businesses (1.00),Satanic Latte Art? How Should a Business Respond? (1.00),Small Business Disaster Survival Guide: Get Your Insurance Claims Covered (1.00),Small Business Leads To Better Economy (1.00),Top Reasons to Incorporate Your Business (1.00),How to Reinstate a Non-Compliant Business Before the End of the Year (1.00),6 eCommerce Customer Service Benchmarks for Your Business (1.00),The Island Approach: Which Are the Best Credit Cards for Small Business? (1.00),Cyber Liability Insurance: Protect Your Business Online (1.00)
14,Facebook Wants Your Businesses On Messenger,What Is HTML5? Do I Need It For My Business Website? (1.00),10 Social Media Books Every Small Business Owner Should Read (1.00),Manta Business Directory Upgrades to Help You Get Discovered (1.00),"Better Business Bureau Reviews, LinkedIn Apps and More (1.00)",5 Small Business Social Media Mistakes (1.00),Twitter Chat: Is Your Brand Helping Or Hurting Your Business? (1.00),A 30 Point Checklist for Your Startup (1.00),LinkedIn Introduces Showcase Pages for Business (1.00),Government Resources to Help Market Your Business Overseas (1.00),Be.Lead.Do Provides Online Resource for Business Managers (1.00)
15,"5 entrepreneurship lessons to learn from Colonel Sanders, the culprit responsible for your finger-licking mania","RGB, CMYK and PMS Colors Explained (1.00)",How I increased my productivity 1.5x by experimenting with my work schedule (1.00),Print Photos From Your Phone with the Prynt Smartphone Case (1.00),Speed Up Your Mobile Browsing with Dolphin (1.00),"Yahoo Unveils News Digest, Digital Magazines But Without Clear Niche (1.00)",Presentations: How to Make Your Message Stick (1.00),Minbox Touts Faster Uploads Than Dropbox in Cloud Storage (1.00),Mix360 Headset Promises Hi-Fi Experience From Your Smartphone (0.99),"Busted: Hotels.com Caught Buying Links, Apology is Weak (0.99)",BotBeat: This weeks top botstories (0.99)
16,"India orders four maritime spy planes from Boeing, bolsters navy",Study: 16 Percent of Yelp Reviews May Be Fakes (1.01),Amazon AWS MarketPlace Puts Desktop Apps in the Cloud (1.01),HP Reinventing Traditional Computers With Mini Desktop PC (1.00),How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes (1.00),Amazon Introduces New Kindle Fire Tablets (1.00),The 5 best new songs you can stream right now (1.00),"Up close & personal: How Sunny Leone handles stocks, land, gold, other assets (1.00)",The 10 most luxurious first-class plane cabins in the world (1.00),Indie Books Now Have a Better Shot With Brick-and-Mortar Bookstores (1.00),"Reliance Jio is yet to be launched, but is already breaking rules (1.00)"
17,Adobe Acquires Fotolia for $800 Million,How I increased my productivity 1.5x by experimenting with my work schedule (1.01),Days Are Numbered for the LG Google Nexus 5 (1.00),BotBeat: This weeks top botstories (1.00),Cicret Could Turn Your Skin Into a Smartphone Display (1.00),How Do Consumers Buy Online? (1.00),CorpNet Adds Free Meeting Minutes and Corporate Document Templates (1.00),QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market (1.00),Do Your Customers Look Forward to Seeing You? (1.00),ReTargeter Creator Aims to Replace CRM with New Immediately App (1.00),Our Top Story This Week: A New SBA Administrator is Approved (1.00)
18,FCC Decision on Net Neutrality Coming Soon,Cardamom futures remain up on rising demand (1.00),Earnings This Week (1.00),Here comes the Baker Hughes rig count ... (1.00),Here comes the Beige Book ... (1.00),Putin and Erdogan move towards repairing Russia-Turkey ties (1.00),Wall Street opens little changed (1.00),Microsoft Temporarily Cuts the Price on the Surface 2 (1.00),Rupee down against dollar (1.00),Who Has the Better Job: Software Developer or Architect? (1.00),Seven important triggers that changed your market while you were sleeping (1.00)
19,How to Market Your Business on Twitter Like a Pro,What NOT to Spend On In Your Startup (1.02),Want to Learn How to Use Google Plus for Business? Of Course You Do! (1.00),What Google+ Local Pages Means to Your Business (1.00),Business Book Review: iPhone And iPad App Marketing (1.00),Lumiary Lights the Way for Marketing Your Online Business (1.00),5 Ways Business Intelligence and Online Marketing Can Work Together (1.00),Pinteresting Image Optimization Tips When Using Pinterest for Business (1.00),How to Create a Facebook Page for Your New Business (0.99),Invisible Capital Reveals The Resources That Builds Success (0.98),New Google and New Foursquare Offerings Call Attention to Local Business Marketing (0.97)
20,The Secret to Achieving Resolutions:  Setting Small Goals,"Fortune 500 Thrives, But Small Businesses Not So Optimistic (1.00)",Is It Time to Change Your Business Structure? (1.00),How Much Will the Sequester Cost Small Business Contractors? (1.00),Satanic Latte Art? How Should a Business Respond? (1.00),Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program (1.00),Getting Your Business Energy Efficient Before the Holidays (1.00),How to Reinstate a Non-Compliant Business Before the End of the Year (1.00),Reward your Small Business with the Capital One Spark (1.00),Remote Work No Longer a Perk But a Business Imperative (1.00),16 Tips for Saving on Small Business Expenses Infographic (1.00)
21,11 Ways to Use Twitter To Develop Sales Leads,"Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons (1.01)",Social Customers Means a Social Inbox: Review of Nimble CRM (1.00),20 Reasons People Unfollow You On Twitter (1.00),Not Sure How to Use LinkedIn for B2B? Let Us Help You (1.00),20 Ways to Kick Start Your Motivation Beginning Today (1.00),LotusJump Review: Do-It-Yourself Online Marketing Service (1.00),Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe (1.00),Chris Goward: Affiliate Programs and Conversion Optimization #AMDays (1.00),4 Practical SMB Uses For FourSquare (1.00),"Email Marketing is Not Dead, Bring it Back to Life With These Resources (1.00)"
22,Improving Your Community Can Improve Your Business,Small Business Product Launches and Shut Downs (1.00),How the Cloud is Reshaping Small Business Productivity (1.00),Email Erases 9 to 5 at Many Small to Mid-Sized Businesses (1.00),Catch Up With Our Latest Small Business News Recap (1.00),Small Business Disaster Survival Guide: Get Your Insurance Claims Covered (1.00),Small Business News: Week in Review for July 7 (1.00),Small Business Leads To Better Economy (1.00),Oakland Program Helps Underprivileged Youth Start Businesses (1.00),How to Turn Your Hobby Into a Business (1.00),Join The Crowdfunding Revolution to Start Your Business (1.00)
23,Sauca Foods:  New Flair for the Food Truck Trend,Do You Trust Your Employees to Work Remotely? (1.00),"Nexus 6 Could Compete with iPhone 6 Plus, Other Phablets (1.00)","Citysearch: Product Manager, LA (1.00)",Weighing the Pros and Cons of Free City WiFi (1.00),Join Me For: Choosing the RIGHT Online Software (1.00),MSFT-YHOO: Links To Coverage Across Our Sites (1.00),"[Techie Tuesdays] A tribute to Humblefool, the best coder that ever lived in India (1.00)",Entrepreneurs Take Us to the Edge of Outer Space (1.00),How Low Will Online Storage Costs Finally Go? (1.00),How an MBA grad became a marketplace millionaire by selling umbrellas (1.00)
24,Mompreneur Launches $3 Million Business Selling Superhero Capes,"Small Business Loans Up at Big Banks, Down at Small Ones (1.00)",Ohio Weighing Major Tax Break For Small Businesses (1.00),Small Business Employment Share Shrinking for a Good Reason (1.00),Gross Fixed Capital Formation Weak at Non-Corporate Businesses (1.00),Small Business Job Growth Dips in January (1.00),"BlackBerry Plans Personal, Business Accounts On One Device (1.00)",eBay Opposes Legislation Imposing New Taxes and Regulatory Burdens on Small Businesses (1.00),Do You Need to Notify the State of Changes to Your Business? (1.00),5 Things You May not Know about Small Business Taxes (1.00),Do You Qualify for a Break Under These Small Biz Tax Definitions? (1.00)
25,Going Mobile: Does Your Small Business Need an App?,The Small Business Guide to Getting Ready for Vacation (1.00),Catch Up With Our Latest Small Business News Recap (1.00),The Commitment Engine Inspires Small Business Growth (1.00),Small Business News: Week in Review for July 7 (1.00),Oakland Program Helps Underprivileged Youth Start Businesses (1.00),How to Turn Your Hobby Into a Business (1.00),Small Business Startup: Where To Begin (1.00),Review: Samsung Chromebook for Your Small Business (1.00),Ever Wonder How to Build a Business as a Personal Stylist? (1.00),When to Give Business Gifts and Who to Give Them to (1.00)
26,HP Reinventing Traditional Computers With Mini Desktop PC,"India orders four maritime spy planes from Boeing, bolsters navy (1.00)",The 5 best new songs you can stream right now (1.00),"Up close & personal: How Sunny Leone handles stocks, land, gold, other assets (1.00)",The 10 most luxurious first-class plane cabins in the world (1.00),Indie Books Now Have a Better Shot With Brick-and-Mortar Bookstores (1.00),"Reliance Jio is yet to be launched, but is already breaking rules (1.00)",Study: 16 Percent of Yelp Reviews May Be Fakes (1.00),Kid Inventors Come Up With Creative Environmental Solutions (1.00),Lawn Care Services Offered on Amazon Soon (1.00),Volvo is quietly becoming a tech superpower (1.00)
27,Are You Being Too Nice for Your Own Good?,Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation (0.99),Social Customers Means a Social Inbox: Review of Nimble CRM (0.99),20 Reasons People Unfollow You On Twitter (0.99),4 Ways to Market Your SMB With Flickr (0.99),10 Assets for Using Tech to Keep Your Team on Track (0.99),5 Reasons SMBs Need Content Marketing (0.99),6 Ways to Create A Positive Brand Perception (0.99),How To Keep Customers Loyal With Coupons (0.99),5 Ways Social Media Can Make Your Trade Show A Success (0.99),How to Use The Linkedin Mentions Feature to Engage and Connect (0.99)
28,Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation,4 Ways to Market Your SMB With Flickr (1.00),10 Assets for Using Tech to Keep Your Team on Track (1.00),5 Reasons SMBs Need Content Marketing (1.00),6 Ways to Create A Positive Brand Perception (1.00),How To Keep Customers Loyal With Coupons (1.00),5 Ways Social Media Can Make Your Trade Show A Success (1.00),How to Use The Linkedin Mentions Feature to Engage and Connect (1.00),Design Advice From Visual Marketing Book (1.00),6 Actually-Useful Facebook Apps For SMBs (1.00),Read Social Marketology to Create Profitable Social Media Marketing (1.00)
29,Vine: Now You Can Send Video Messages Directly to Friends and Colleagues,Headlining the News This Week: Wix Acquires OpenRest (1.02),Pinterest Contemplates Sponsored Pins (1.01),Awaken Your Productivity With Fearless At Work (1.01),9 Holiday Marketing Tips to Make Your Retail Store Stand Out (1.01),Save the Date for a Twitter Chat: Demystifying Data Backup (1.01),Google Improves AdWords Express Program (1.01),Spotlight: Studypool Provides Fast Online Homework Help (1.01),The Psychology of Color in Marketing (1.01),"Court Reverses $338,000 Award for User Generated Content (1.00)","Meet Byju, whos changing the way India learns (1.00)"
30,Social Customers Means a Social Inbox: Review of Nimble CRM,"Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons (1.01)",11 Ways to Use Twitter To Develop Sales Leads (1.00),20 Reasons People Unfollow You On Twitter (1.00),Not Sure How to Use LinkedIn for B2B? Let Us Help You (1.00),How to Balance Engagement and Customer Service on Twitter (1.00),4 Ways to Market Your SMB With Flickr (1.00),10 Assets for Using Tech to Keep Your Team on Track (1.00),Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe (1.00),Chris Goward: Affiliate Programs and Conversion Optimization #AMDays (1.00),6 Ways to Create A Positive Brand Perception (1.00)
31,10 Things You Need To Do After Forming An LLC,Successful S-Corp Owners: Watch Out For A Tax Increase (1.00),How to Get Your Company Back in Good Standing This Summer (1.00),"Give Quantitative, Monetary Values to Employee Benefits or Risk Attrition (1.00)","South Dakota, Texas Top List of Best State Tax Systems (0.99)",HP Announces 8 New Business Tablets (0.99),Internet Sales Tax Bill May Stall in House of Representatives (0.99),New Tax Penalty Targets Health Reimbursement Accounts (0.99),Communicating to Employees About Health Insurance Open Enrollment (0.99),How Do Your Employee Benefits Stack Up? (0.99),25 of the Best Cities for Freelancers to Work and Play (0.98)
